126, 3, -43.12893104553223
169, 6, -43.21056938171387
79, 7, -43.893638610839844
3, 0, -43.943119049072266
79, 1, -44.29002380371094
115, 4, -44.395774841308594
163, 8, -44.43565559387207
177, 22, -44.44444274902344
172, 5, -44.7701530456543
169, 28, -44.90476417541504
177, 21, -45.0
110, 3, -45.19742965698242
172, 9, -45.27472496032715
120, 17, -45.50661373138428
120, 18, -45.852192401885986
3, 7, -45.94244384765625
108, 31, -45.95210266113281
172, 6, -46.69236946105957
140, 20, -46.840027809143066
106, 0, -47.27990913391113
169, 13, -47.48064422607422
79, 29, -47.521484375
79, 17, -47.55956268310547
83, 8, -47.620994567871094
32, 15, -47.91291046142578
66, 0, -48.708919525146484
172, 14, -49.730650901794434
79, 8, -52.281620025634766
141, 7, -52.879356384277344
35, 18, -53.02911376953125
172, 13, -53.42200994491577
132, 15, -53.73134231567383
172, 7, -53.77118682861328
169, 12, -55.95358848571777
132, 16, -57.14285659790039
79, 28, -57.75577259063721
153, 11, -58.82352828979492
132, 19, -58.83362102508545
172, 8, -60.06275272369385
153, 12, -60.377357482910156
79, 30, -61.54633903503418
83, 6, -63.90050411224365
47, 28, -66.66666412353516
184, 9, -66.66666412353516
132, 20, -70.082763671875
170, 1, -71.0526351928711
88, 28, -71.11111211776733
140, 30, -75.0
88, 27, -76.19047546386719
132, 17, -79.42920684814453
