4035, 126, 3, -43.12893104553223
5414, 169, 6, -43.21056938171387
2535, 79, 7, -43.893638610839844
96, 3, 0, -43.943119049072266
2529, 79, 1, -44.29002380371094
3684, 115, 4, -44.395774841308594
5224, 163, 8, -44.43565559387207
5686, 177, 22, -44.44444274902344
5509, 172, 5, -44.7701530456543
5436, 169, 28, -44.90476417541504
5685, 177, 21, -45.0
3523, 110, 3, -45.19742965698242
5513, 172, 9, -45.27472496032715
3857, 120, 17, -45.50661373138428
3858, 120, 18, -45.852192401885986
103, 3, 7, -45.94244384765625
3487, 108, 31, -45.95210266113281
5510, 172, 6, -46.69236946105957
4500, 140, 20, -46.840027809143066
3392, 106, 0, -47.27990913391113
5421, 169, 13, -47.48064422607422
2557, 79, 29, -47.521484375
2545, 79, 17, -47.55956268310547
2664, 83, 8, -47.620994567871094
1039, 32, 15, -47.91291046142578
2112, 66, 0, -48.708919525146484
5518, 172, 14, -49.730650901794434
2536, 79, 8, -52.281620025634766
4519, 141, 7, -52.879356384277344
1138, 35, 18, -53.02911376953125
5517, 172, 13, -53.42200994491577
4239, 132, 15, -53.73134231567383
5511, 172, 7, -53.77118682861328
5420, 169, 12, -55.95358848571777
4240, 132, 16, -57.14285659790039
2556, 79, 28, -57.75577259063721
4907, 153, 11, -58.82352828979492
4243, 132, 19, -58.83362102508545
5512, 172, 8, -60.06275272369385
4908, 153, 12, -60.377357482910156
2558, 79, 30, -61.54633903503418
2662, 83, 6, -63.90050411224365
1532, 47, 28, -66.66666412353516
5897, 184, 9, -66.66666412353516
4244, 132, 20, -70.082763671875
5441, 170, 1, -71.0526351928711
2844, 88, 28, -71.11111211776733
4510, 140, 30, -75.0
2843, 88, 27, -76.19047546386719
4241, 132, 17, -79.42920684814453
